what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1455789298207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789303386
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789304431
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789304447
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1455789304463
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789309408
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455789323183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455789332231
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1455789341996
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789349687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455789353493
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1455789355225
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455789357393
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455789357440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789409576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789410153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789413164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789415582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1455789421603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455789422929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455789423569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455789424052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789442429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789442507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455789449153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789509057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789509151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789510960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789511054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1455789594904
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455789596027
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789633280
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455789633888
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789635729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455789644325
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1455789657257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455789661188
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789662780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455789698410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455789718815
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1455789724431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789735866
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789737161
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789738565
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455789746302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455789747425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789748985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789750561
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789751825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455789752823
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455789756395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789792962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789793835
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789803507
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455789808000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455789809404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789818140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789818296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1455789824365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789828296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789828468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789845846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789845986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789850370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789850526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1455789857874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455789859075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789882771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789882880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789898683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789899292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789928198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455789929212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455789949586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1455789979148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455789982689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455789985919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455789986621
